"AssetTag","Name","Model","WarrantyExpires","Status","DaysRemaining","PurchaseDate","PurchaseCost"
"CB-961-3XR16Y2","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"2015","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"548","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"234","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1507","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"1479","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"741","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"612","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"1745","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"1106","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"2501","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"990","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"2525","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"352","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"2806","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"713","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"2056","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"2255","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"1980","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"322","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"403","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1769","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"2340","","Dell Latitude 3445 Chromebook","N/A","No Warranty Data",,"N/A","400.00"
"34","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"931","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"433","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"899","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"348","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1308","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"1680","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"332","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"789","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"469","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"2715","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"387","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"881","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"1772","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1477","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"1011","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"213","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"2126","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1201","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"1216","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"1510","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"15","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1894","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"200","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
